慢一点也没关系（内卷时代的避坑指南）,"[比利时]吕克·斯维宁 著,常江涵 许楚琪 译,酷威文化 出品",2021-10-01,四川文艺出版社,39.80
空间简史(与《时间简史》《人类简史》《未来简史》并称“四大简史”),[意]托马斯·马卡卡罗,2019-01-01,四川文艺出版社,39.80
高尔基成长三部曲（童年、在人间、我的大学）,[苏]高尔基 著，桑卓 译，酷威文化 出品,2019-08-01,四川文艺出版社,108.00
小窗幽记（与菜根谭围炉夜话并称处世三大奇书）,[明]陈继儒 著，酷威文化 出品,2022-05-01,万卷出版公司,39.80
史记精编本（中国《史记》研究会会长张大可精编白话本）,张大可 著，酷威文化 出品,2022-11-01,四川文艺出版社,45.00
生命是什么（诺贝尔物理学奖得主薛定谔作品全新译本）一本简明有趣的科普小书,[奥] 埃尔温·薛定谔，酷威文化 出品,2022-10-01,四川文艺出版社,39.80
1分钟科学(当当定制异形书签2张）超8000万点击的爆火科普漫画,[韩]李宰范  著  [韩]崔峻硕  绘，酷威文化 出品,2022-11-01,黑龙江少年儿童出版社,49.80
真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的成长通关秘籍！杨天真、大冰、鲁豫、张含韵诚挚作序推荐。）,房琪kiki,2022-09-28,北京联合出版有限公司,49.80
问，就对了！用提问掌控人生主动权,任康磊,2022-11-01,人民邮电出版社,69.80
心理医生的故事盒子(寓言故事，比任何心理分析都好记100倍！),[阿根廷]豪尔赫·布卡伊，果麦文化 出品,2022-12-01,万卷出版公司,49.80
共情的能力,[美]卡拉·麦克拉伦（Karla McLaren） 著  陈亚萍 译,2022-11-01,浙江教育出版社,58.00
不焦虑父母俱乐部（60分的父母，就是好父母。“学霸妈妈”郝景芳写给父母们的家教实用手册）,郝景芳，果麦文化 出品,2022-11-01,浙江文艺出版社,48.00
世界上最疼我的那个人去了（30年来，令万千读者潸然落泪的生命之书）,张洁,2022-10-01,浙江人民出版社,55.00
企业资本运营：投融资实战操作指南,谌豫锋,2023-01-01,电子工业出版社,69.00
人工智能革命：开启超级智能新时代,高峰,2022-09-01,电子工业出版社,89.00
一本书讲透内卷与反内卷,王磊   著   华夏智库  出品,2022-11-01,华龄出版社,68.00
写给爸爸的亲子沟通书,陈翠花   著   华夏智库   出品,2022-11-01,民主与建设出版社,58.00
柔性领导力,李小艳,2022-10-01,中华工商联合出版社,58.00
谷园讲通鉴：东汉兴衰史,谷园,2022-09-01,华文出版社,118.00
旧梦曲 （收录高口碑人气小说《旧梦1913》原版+全新中篇故事 +特别绘制顾氏夫妇彩插）（风炫出品）,沈鱼藻，风炫文化 出品,2022-05-01,江苏凤凰文艺出版社,45.00
分股控权 : 股权分配后如何保持公司控制权,"刘育良, 易倩   著     华夏智库   出品",2022-04-01,中国商业出版社,58.00
《旧梦令》（旧梦1913-1997，新锐实力作家沈鱼藻高口碑人气故事书修订典藏版！15个红尘旧梦，16P文艺彩页）（风炫出品）,沈鱼藻，风炫文化 出品,2022-06-01,江苏凤凰文艺出版社,45.00
猫咪奇怪行为图鉴（有的猫表面上可可爱爱，实际上奇奇怪怪！讲述养猫新手和猫主子的爆笑日常。火遍日本全网，好评不断的人气漫画。随书附赠喵星人的书签和明信片）,【日】AKR，风炫文化 出品,2022-09-01,四川文艺出版社,65.00
梅西传奇（一本值得收藏的梅西传记！21世纪球王的传奇人生！全彩印刷，精选超百张照片，超值附赠三张梅西海报，一张世界杯观战指南！）,"张佳玮 著,博集天卷 出品",2022-12-21,湖南文艺出版社,78.00
